customer_id,full_name,gender,date_of_birth,city,state,occupation_type,annual_income,credit_score,existing_emi_monthly,bank_relationship_years,signup_date
1,Naksh Yadav,Male,1996-09-16,Chandigarh,Chandigarh,Salaried,611000.0,686,0.0,1.7,2011-12-20
2,Vivaan Saran,Male,1980-10-07,Raipur,Chhattisgarh,Business Owner,1148000.0,844,0.0,12.0,2013-07-18
3,Nimrat Balay,Male,1998-12-29,Ahmedabad,Gujarat,Salaried,440000.0,677,7700.0,13.5,2022-07-30
4,Tanveer Kala,Female,1970-01-11,Raipur,Chhattisgarh,Salaried,691000.0,655,0.0,6.8,2012-03-23
5,Janya Bumb,Male,2003-07-16,Bengaluru,Karnataka,Retired,368000.0,655,0.0,1.3,2014-04-01
6,Janaki Wason,Male,2003-09-01,Chennai,Tamil Nadu,Salaried,396000.0,722,0.0,1.6,2018-10-09
7,Veer Lala,Female,1970-09-06,Ahmedabad,Gujarat,Salaried,207000.0,536,0.0,15.6,2023-05-01
8,Charvi Rao,Male,1982-09-14,Jaipur,Rajasthan,Salaried,380000.0,603,0.0,5.2,2013-12-27
9,Tejas Tak,Male,1963-09-10,Jaipur,Rajasthan,Self-Employed,534000.0,613,0.0,0.6,2013-05-11
10,Anthony Dutta,Female,1992-11-08,Kolkata,West Bengal,Self-Employed,1066000.0,678,0.0,9.4,2015-05-05
11,Lavanya Chokshi,Male,1995-05-17,Patna,Bihar,Salaried,504000.0,564,0.0,4.0,2021-11-24
12,Oliver Naidu,Female,1965-09-12,Chennai,Tamil Nadu,Salaried,383000.0,710,0.0,9.8,2014-05-31
13,Hardik Sarkar,Male,1986-10-04,Bhubaneswar,Odisha,Salaried,291000.0,735,0.0,6.9,2010-01-05
14,Pushti Bala,Male,1976-01-04,Patna,Bihar,Retired,233000.0,672,0.0,10.4,2020-08-01
15,Wazir Naidu,Female,2003-03-09,Surat,Gujarat,Salaried,1125000.0,698,0.0,9.8,2026-05-06
16,Hema Mane,Male,1989-05-04,Surat,Gujarat,Salaried,304000.0,778,0.0,9.7,2013-12-04
17,Tejas Nigam,Female,1962-10-28,Hyderabad,Telangana,Self-Employed,213000.0,719,0.0,12.6,2019-06-10
18,Azaan Butala,Female,1975-07-10,Mumbai,Maharashtra,Self-Employed,180000.0,573,0.0,8.2,2012-11-02
